Emoji ID or Unicode[0],Message ID[1], Role ID [2], positive message[3], negative message[4], emoji used[5]
✅,763433157516066846,762809681634132018,Has just agreed to TOS,Has just disagreed to TOS, green tick
🐸,763866695218495488,763860300784730193,Joined event night,Left event night, frog
🧦,764154569680617512,764155263200264212,Joined Femsoc,Left Femsoc, socks
539057832511668251,764600764202876978,764601237986738197,Joined Notifications,Left Notifications,dancing doge
595722950615892003,764607381329149973,764611080244559882,Joined League,Left League, League Char
692352023307485215,764607381329149973,764611202638413887,Joined Rainbow6,Left Rainbow6, r6 logo
525838397588111361,764607381329149973,764611264236224522,Joined CS,Left CS, cs logo
717164121203933254,764607381329149973,764611403197710366,Joined Valorant,Left Valorant, v spray
239109493391097867,764607381329149973,764611499388960799,Joined Switch Gamer,Left Switch Gamer, switch logo
641085559531372545,764607381329149973,760226734188003370,Joined MC,Left MC, diamonds
585700525073498113,764607381329149973,764611890982420490,Joined OW,Left OW, ow dark
360411337190277121,764607381329149973,764612139499126794,Joined TF2,Left TF2, nope
725178213944262716,764617218343960578,764620730372980746,Joined Glen Eyre,Left Glen Eyre, Pyro
725173420190597184,764617218343960578,764620911272919040,Joined Mayflower,Left Mayflower, Hydro
725173419133370390,764617218343960578,764621046321774603,Joined Wessex Lane,Left Wessex Lane, Anemo
725173420148654170,764617218343960578,764621187023896666,Joined Highfield,Left Highfield, Electro
725173419909316702,764617218343960578,764824717420658688,Joined ArchersRoad,Left ArchersRoad, Dendro
775029068159778856,764617218343960578,779201392623353857,Joined Priv Accom,Left Priv Accom, Geo
695030508320456815,764830749521215489,764831058218450994,Joined Weeb Gang,Left Weeb Gang, FiloNod
636394992994091009,764154569680617512,764928713472606218,Joined Furries,Left Furries, Dog
🔞,764154569680617512,779137658160545822,Has joined NSFW memes,Has left NSFW memes, Underage Symbol
477245204496121866,764607381329149973,806155527477788752, Has joined rocket league, Has left rocket league, rl symbol
